Date,Slot,Req
13/05/2025,13:00,34.15
13/05/2025,13:15,34.15
14/05/2025,13:00,33.13
14/05/2025,13:15,33.13
15/05/2025,13:00,33.23
15/05/2025,13:15,33.23
16/05/2025,13:00,27.56
16/05/2025,13:15,27.56
17/05/2025,13:00,22.42
17/05/2025,13:15,22.42
11/05/2025,13:30,34.04
11/05/2025,13:45,34.04
12/05/2025,13:30,34.12
12/05/2025,13:45,34.12
13/05/2025,13:30,34.15
13/05/2025,13:45,34.15
14/05/2025,13:30,33.13
14/05/2025,13:45,33.13
15/05/2025,13:30,33.23
15/05/2025,13:45,33.23
16/05/2025,13:30,27.56
16/05/2025,13:45,27.56
17/05/2025,13:30,22.42
17/05/2025,13:45,22.42
11/05/2025,14:00,28.35
11/05/2025,14:15,28.35
12/05/2025,14:00,30.82
12/05/2025,14:15,30.82
13/05/2025,14:00,30.86
13/05/2025,14:15,30.86
14/05/2025,14:00,29.94
14/05/2025,14:15,29.94
15/05/2025,14:00,30.05
15/05/2025,14:15,30.05
16/05/2025,14:00,22.81
16/05/2025,14:15,22.81
17/05/2025,14:00,18.58
17/05/2025,14:15,18.58
11/05/2025,14:30,28.35
11/05/2025,14:45,28.35
12/05/2025,14:30,30.82
12/05/2025,14:45,30.82
13/05/2025,14:30,30.86
13/05/2025,14:45,30.86
14/05/2025,14:30,29.94
14/05/2025,14:45,29.94
15/05/2025,14:30,30.05
15/05/2025,14:45,30.05
16/05/2025,14:30,22.81
16/05/2025,14:45,22.81
17/05/2025,14:30,18.58
17/05/2025,14:45,18.58
11/05/2025,15:00,26.82
11/05/2025,15:15,26.82
12/05/2025,15:00,27.02
12/05/2025,15:15,27.02
13/05/2025,15:00,27.06
13/05/2025,15:15,27.06
14/05/2025,15:00,26.24
14/05/2025,15:15,26.24
15/05/2025,15:00,26.34
15/05/2025,15:15,26.34
16/05/2025,15:00,21.49
16/05/2025,15:15,21.49
17/05/2025,15:00,17.6
17/05/2025,15:15,17.6
11/05/2025,15:30,26.82
11/05/2025,15:45,26.82
12/05/2025,15:30,27.02
12/05/2025,15:45,27.02
13/05/2025,15:30,27.06
13/05/2025,15:45,27.06
14/05/2025,15:30,26.24
14/05/2025,15:45,26.24
15/05/2025,15:30,26.34
15/05/2025,15:45,26.34
16/05/2025,15:30,21.49
16/05/2025,15:45,21.49
17/05/2025,15:30,17.6
17/05/2025,15:45,17.6
11/05/2025,16:00,24.24
11/05/2025,16:15,24.24
12/05/2025,16:00,24.24
12/05/2025,16:15,24.24
13/05/2025,16:00,24.27
13/05/2025,16:15,24.27
14/05/2025,16:00,23.54
14/05/2025,16:15,23.54
15/05/2025,16:00,23.63
15/05/2025,16:15,23.63
16/05/2025,16:00,19.23
16/05/2025,16:15,19.23
17/05/2025,16:00,15.71
17/05/2025,16:15,15.71
11/05/2025,16:30,24.24
11/05/2025,16:45,24.24
12/05/2025,16:30,24.24
12/05/2025,16:45,24.24
13/05/2025,16:30,24.27
13/05/2025,16:45,24.27
14/05/2025,16:30,23.54
14/05/2025,16:45,23.54
15/05/2025,16:30,23.63
15/05/2025,16:45,23.63
16/05/2025,16:30,19.23
16/05/2025,16:45,19.23
17/05/2025,16:30,15.71
17/05/2025,16:45,15.71
11/05/2025,17:00,21.66
11/05/2025,17:15,21.66
12/05/2025,17:00,23.57
12/05/2025,17:15,23.57
13/05/2025,17:00,23.59
13/05/2025,17:15,23.59
14/05/2025,17:00,22.88
14/05/2025,17:15,22.88
15/05/2025,17:00,22.95
15/05/2025,17:15,22.95
16/05/2025,17:00,18.38
16/05/2025,17:15,18.38
